BECP1, 1, 2, 1, 4, 5, 3
BECP2, 2, 1, 4, 3, 2, 5
BECP3, 3, 5, 3, 1, 4, 2
BECP4, 4, 1, 5, 2, 4, 3
BECP5, 5, 5, 4, 3, 2, 1
BECP6, 6, 1, 2, 3, 4, 5
BECP7, 7, 2, 1, 4, 5, 3
BECP8, 8, 1, 4, 3, 2, 5
BECP9, 9, 5, 3, 1, 4, 2
BECP10, 10, 1, 5, 2, 4, 3
BECP11, 11, 5, 4, 3, 2, 1
BECP12, 12, 1, 2, 3, 4, 5
BECP13, 13, 2, 1, 4, 5, 3
BECP14, 14, 1, 4, 3, 2, 5
BECP15, 15, 5, 3, 1, 4, 2
BECP16, 16, 1, 5, 2, 4, 3
BECP17, 17, 5, 4, 3, 2, 1
BECP18, 18, 1, 2, 3, 4, 5
BECP19, 19, 2, 1, 4, 5, 3
BECP20, 20, 1, 4, 3, 2, 5
